FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
PBX2,0.731242672919109,1.4705,0.9473684210526315,1.539349871685201,0.6903153153153153,1.3475292587776333,2.3059460332848603
SCRT1,0.7268464243845252,0.918,0.9473684210526315,1.0436270316509837,0.7418355855855856,1.1336150845253576,1.3465018581354016
NR4A2::RXRA,0.7265533411488863,0.6675,0.7368421052631579,0.7677502138579982,0.6624436936936937,0.7444733420026007,0.7922119890127646
NR1I2,0.7218640093786636,0.5935,0.6842105263157895,0.6488451668092386,0.6638513513513513,0.6189856957087126,0.541606075294878
CEBPG,0.7209847596717468,0.963,0.47368421052631576,1.1680923866552608,0.651463963963964,1.0838751625487646,1.5269025690741638
ZKSCAN3,0.720398593200469,0.543,0.6842105263157895,0.6432848588537211,0.7114301801801802,0.659297789336801,0.4631604459524964
GBX1,0.7075029308323564,1.1705,0.5263157894736842,1.2117194183062447,0.6776463963963963,1.0731469440832249,1.572386492163516
E2F4,0.7022274325908558,0.5845,0.631578947368421,0.3592814371257485,0.7153716216216216,0.3764629388816645,0.1628696073679108
Dmrt1,0.701641266119578,1.231,0.631578947368421,1.2455089820359282,0.6264076576576577,1.2714564369310792,2.014137986750687
ISX,0.7007620164126612,1.3725,0.2631578947368421,1.28956372968349,0.6100788288288288,1.114109232769831,1.9473259007917272
ZNF766,0.6987104337631888,1.0095,0.5789473684210527,1.014114627887083,0.7367680180180181,1.0741222366710013,1.3658103086120537
TBX21,0.6975381008206331,0.815,0.631578947368421,0.844311377245509,0.6734234234234234,0.9018205461638492,0.8535304572628858
POU3F1,0.6975381008206331,1.4085,0.3157894736842105,1.4593669803250642,0.5920608108108109,1.2714564369310792,2.582000323153983
LHX6,0.6960726846424384,0.9785,0.8947368421052632,1.1937553464499573,0.7697072072072072,1.072171651495449,1.3153174987881726
Nr1h3::Rxra,0.6919695193434936,0.7855,0.8947368421052632,0.93071000855432,0.6807432432432432,1.048114434330299,1.1551139117789626
DMRTA1,0.690504103165299,1.0215,0.6842105263157895,1.1231822070145423,0.7570382882882883,1.226592977893368,1.4995152690256908
ZFP42,0.6896248534583822,0.6155,0.42105263157894735,0.6449957228400343,0.7252252252252253,0.6723016905071522,0.7821134270479884
SPDEF,0.6890386869871044,0.5,0.3157894736842105,0.4392643284858853,0.8789414414414415,0.4899219765929778,0.3096623040878979
Prdm4,0.6872801875732708,0.8095,0.5789473684210527,0.9157399486740804,0.7570382882882883,1.002925877763329,1.1299079011148812
MYB,0.6820046893317703,0.766,0.47368421052631576,0.7596236099230111,0.7007319819819819,0.893368010403121,0.9308450476652124
Nkx3-2,0.6808323563892146,1.0605,0.7368421052631579,1.050042771599658,0.7255067567567568,1.0663198959687907,1.3839069316529329
TBX3,0.6808323563892146,0.765,0.7368421052631579,0.739093242087254,0.6613175675675675,0.7496749024707412,0.7055259331071255
ZNF652,0.6749706916764361,1.025,0.7894736842105263,1.11633875106929,0.6469594594594594,1.1986345903771132,1.4909516884795606
FOXL1,0.6729191090269636,1.206,0.5789473684210527,1.1608212147134302,0.6649774774774775,1.2213914174252276,1.7216028437550492
